session_id,customer_id,session_date,page_views,session_duration_minutes,device_type
39,2057,2024-10-15 13:20:06,3,18,Desktop
40,187,2024-01-24 13:21:07,5,56,Mobile
41,331,2024-11-04 14:15:13,2,9,Mobile
42,822,2024-07-22 12:48:41,12,31,Mobile
43,21,2024-12-03 13:24:42,3,26,Mobile
44,536,2024-04-04 20:22:23,8,10,Mobile
45,587,2023-12-02 23:32:49,1,28,Mobile
46,1950,2024-12-15 16:32:30,5,11,Mobile
47,539,2024-01-09 18:01:53,5,40,Mobile
48,1074,2024-12-06 07:52:06,8,45,Mobile
49,100,2024-02-22 17:01:29,12,15,Mobile
50,1140,2024-10-23 16:34:02,1,36,Mobile
51,467,2024-11-16 14:57:56,3,26,Mobile
52,698,2024-06-09 04:42:21,2,37,Desktop
53,1161,2024-07-07 00:07:50,1,31,Mobile
54,2908,2024-11-18 13:15:14,3,11,Desktop
55,2872,2024-04-28 02:34:34,2,32,Mobile
56,494,2024-12-06 19:41:19,1,2,Mobile
57,813,2024-06-11 21:53:35,20,18,Mobile
58,397,2024-10-25 22:31:34,2,58,Mobile
59,2325,2024-02-25 18:08:17,3,6,Mobile
60,2254,2024-08-17 08:05:11,3,39,Desktop
61,85,2024-05-29 14:29:39,3,37,Mobile
62,2729,2024-09-28 04:01:21,8,47,Desktop
63,603,2024-12-01 23:07:07,3,20,Mobile
64,2912,2023-12-08 20:41:42,8,35,Desktop
65,1891,2023-12-28 05:31:36,8,5,Mobile
66,1168,2024-11-29 00:39:19,3,4,Desktop
67,1767,2024-03-21 23:23:05,5,15,Desktop
68,1936,2024-11-22 02:36:37,3,20,Mobile
69,2526,2024-11-21 01:21:13,3,20,Desktop
70,2898,2024-02-26 20:20:26,8,12,Mobile
71,1337,2024-08-07 21:08:26,20,31,Desktop
72,1455,2024-09-15 21:08:59,8,24,Mobile
73,1261,2024-06-28 15:17:12,8,12,Desktop
74,2854,2024-08-29 11:56:09,2,39,Desktop
75,763,2023-11-09 10:57:39,3,42,Desktop
76,2896,2024-09-06 19:31:20,3,35,Desktop
77,506,2023-12-09 15:24:47,1,41,Desktop
78,2219,2024-11-20 08:25:08,5,52,Mobile
79,895,2024-07-13 02:05:20,3,16,Mobile
80,2628,2024-07-03 05:19:15,2,22,Mobile
81,2989,2024-08-20 23:09:14,3,57,Desktop
82,225,2024-09-23 10:23:55,3,49,Mobile
83,2514,2024-09-26 22:40:15,8,1,Desktop
84,1751,2024-05-31 02:26:47,20,18,Tablet
85,2714,2024-11-12 14:45:53,2,35,Mobile
86,2814,2023-12-16 16:37:07,3,54,Mobile
87,1361,2024-03-25 00:15:00,3,33,Mobile
88,63,2024-09-06 13:36:47,2,46,Mobile
89,1230,2024-06-06 05:57:32,2,18,Tablet
90,1906,2024-09-08 17:52:12,8,42,Desktop
91,1333,2024-09-20 16:29:35,8,46,Mobile
92,253,2023-09-05 23:25:33,3,31,Mobile
93,2184,2024-09-17 10:03:57,12,60,Mobile
94,2492,2024-11-18 12:37:50,3,24,Mobile
95,2648,2024-11-12 19:52:45,2,2,Desktop
96,827,2024-04-14 21:46:26,8,57,Mobile
97,1908,2024-03-15 10:46:27,20,45,Desktop
98,300,2024-08-26 06:56:01,2,8,Mobile
99,2902,2024-11-15 09:56:16,3,1,Mobile
100,1195,2024-11-10 19:05:00,8,41,Mobile
101,212,2024-09-19 09:06:51,12,39,Mobile
102,575,2024-05-07 03:21:33,1,1,Mobile
103,1141,2023-07-21 06:52:39,20,46,Mobile
104,1918,2024-11-16 15:42:40,3,59,Mobile
105,746,2024-12-09 00:00:38,8,32,Desktop
106,2297,2024-05-06 23:00:37,1,59,Mobile
107,1455,2024-06-28 04:07:43,1,25,Desktop
108,2571,2024-09-07 16:22:34,2,42,Mobile
109,2831,2024-03-15 20:33:22,1,50,Mobile
110,1909,2024-05-25 08:49:14,2,28,Mobile
111,2949,2024-04-10 07:45:25,3,16,Mobile
112,131,2024-10-27 14:25:51,20,8,Mobile
113,2306,2024-06-04 18:53:01,3,55,Desktop
114,2795,2024-05-13 16:14:55,3,16,Desktop
115,1985,2024-10-01 06:33:24,3,47,Mobile
116,43,2024-11-16 12:34:52,1,59,Mobile
117,1256,2023-06-08 12:01:04,3,37,Mobile
118,1922,2023-09-09 23:09:30,3,50,Desktop
119,283,2024-05-15 22:53:13,3,34,Mobile
120,1041,2024-11-16 06:39:35,2,21,Mobile
121,1905,2024-11-08 17:43:35,2,10,Mobile
122,2175,2024-06-16 03:45:09,5,58,Tablet
123,880,2024-04-13 06:22:42,1,35,Mobile
124,1693,2024-08-22 04:08:46,8,7,Desktop
125,2422,2024-07-08 14:50:36,1,38,Mobile
126,554,2024-06-19 20:17:01,5,51,Desktop
127,986,2024-04-10 07:54:58,1,57,Desktop
128,1981,2024-09-20 20:01:23,3,23,Mobile
129,1916,2024-11-12 07:37:08,5,27,Mobile
130,2400,2024-11-05 04:32:58,5,40,Tablet
131,2350,2024-09-26 22:43:13,3,19,Mobile
132,501,2024-08-27 23:05:00,8,39,Desktop
133,2040,2024-10-27 02:57:00,12,17,Mobile
134,2285,2024-10-26 07:36:41,3,52,Mobile
135,81,2023-05-03 17:32:58,5,12,Mobile
136,2413,2024-09-14 18:07:18,2,38,Mobile
137,780,2024-11-22 00:29:01,2,22,Desktop
138,2181,2024-06-12 15:39:31,2,16,Mobile
139,1252,2024-08-24 16:14:36,5,2,Desktop
140,1931,2024-12-13 06:38:18,12,50,Mobile
141,2153,2024-09-22 02:17:11,5,19,Mobile
142,2075,2024-10-15 06:53:28,8,7,Desktop
143,1626,2024-03-12 17:30:45,8,36,Tablet
144,1787,2024-12-07 18:41:16,1,7,Mobile
145,2766,2024-02-01 18:54:38,8,1,Mobile
146,153,2024-12-03 01:39:21,3,20,Mobile
147,435,2024-12-01 23:42:22,1,29,Desktop
148,1314,2023-12-30 15:49:02,8,25,Desktop
149,2247,2024-09-17 10:41:07,8,56,Desktop
150,2522,2023-04-19 08:53:13,3,6,Mobile
151,375,2024-12-05 10:12:17,12,6,Mobile
152,31,2024-01-28 18:37:02,3,37,Desktop
153,1681,2024-08-26 16:07:09,8,60,Mobile
154,593,2024-08-25 07:47:12,1,49,Desktop
155,233,2024-07-19 18:44:48,5,41,Mobile
156,1190,2024-03-31 21:40:08,3,50,Mobile
157,1318,2023-08-15 06:18:33,2,32,Mobile
158,1946,2024-02-21 18:08:58,5,21,Mobile
159,2126,2024-09-17 12:35:22,2,45,Desktop
160,18,2024-11-06 09:48:41,12,14,Mobile
161,1265,2024-06-07 22:04:32,5,3,Mobile
162,1234,2024-11-14 15:03:40,2,24,Mobile
163,2613,2024-10-29 09:36:47,1,36,Desktop
164,773,2024-12-04 14:11:32,5,10,Mobile
165,2778,2024-10-22 14:53:24,1,42,Mobile
166,1223,2024-04-26 03:39:03,3,12,Mobile
167,1071,2024-04-01 19:37:22,5,15,Desktop
168,2143,2024-11-08 21:32:17,2,32,Mobile
169,320,2024-11-17 14:01:26,20,50,Mobile
170,2159,2023-11-18 13:22:20,3,58,Desktop
171,964,2024-04-20 19:48:54,3,17,Mobile
172,2279,2024-06-18 04:35:16,2,7,Desktop
173,1332,2024-12-03 01:38:39,5,9,Mobile
174,2326,2024-03-12 19:10:18,5,38,Mobile
175,491,2024-08-02 19:31:18,1,24,Mobile
176,2223,2024-10-18 03:27:03,1,44,Desktop
177,2329,2023-12-18 20:54:34,3,1,Desktop
178,700,2024-04-16 10:45:14,12,33,Mobile
179,1228,2023-12-19 09:18:48,8,40,Desktop
180,1210,2024-10-14 14:44:16,5,43,Mobile
181,2688,2024-01-10 10:47:59,2,34,Mobile
182,2512,2024-09-10 11:01:40,3,37,Mobile
183,380,2023-11-27 09:18:01,1,54,Mobile
184,2485,2024-03-10 06:27:06,8,22,Mobile
185,571,2023-04-20 08:43:28,1,6,Desktop
186,1436,2024-01-10 05:02:02,3,22,Tablet
187,2994,2024-12-04 05:20:00,8,30,Mobile
188,686,2024-09-27 13:43:41,2,25,Mobile
189,2150,2024-11-14 00:53:43,5,38,Mobile
190,1456,2024-06-22 19:40:43,2,40,Tablet
191,1935,2024-05-21 01:57:55,3,37,Mobile
192,819,2024-06-17 19:44:46,8,10,Mobile
193,2162,2024-11-02 17:01:32,3,51,Mobile
194,1572,2024-10-25 17:29:27,1,51,Mobile
195,1462,2024-12-10 18:15:20,3,14,Tablet
196,707,2024-06-15 22:33:01,1,31,Mobile
197,2445,2024-04-26 11:32:16,20,4,Mobile
198,1449,2023-09-09 21:04:12,5,19,Mobile
199,1968,2024-03-05 10:46:07,20,31,Desktop
200,2929,2024-08-19 10:15:44,1,9,Desktop
201,2382,2024-02-23 02:31:01,5,52,Desktop
202,1157,2024-07-31 19:30:41,8,12,Mobile
203,123,2024-10-22 06:08:28,5,46,Mobile
204,1667,2024-09-30 01:16:02,3,52,Mobile
205,873,2024-12-09 15:32:59,2,42,Mobile
206,2893,2023-05-19 08:23:03,1,5,Desktop
207,2437,2024-05-10 05:54:34,1,26,Desktop
208,1439,2024-02-24 21:04:30,3,15,Mobile
209,565,2024-04-13 20:32:16,20,37,Desktop
210,285,2024-06-06 18:22:14,5,41,Mobile
211,1479,2024-05-25 18:20:42,2,7,Mobile
212,1169,2024-12-11 17:50:44,2,28,Desktop
213,2910,2024-11-16 18:45:10,12,29,Mobile
214,885,2024-03-02 08:12:29,2,40,Mobile
215,386,2024-12-02 01:53:07,3,3,Mobile
216,2574,2024-08-06 09:11:50,3,12,Mobile
217,395,2023-08-30 05:00:47,1,26,Tablet
218,1214,2024-03-23 16:49:15,5,55,Tablet
219,1559,2024-05-23 15:56:21,1,27,Mobile
220,2131,2024-11-06 18:48:20,8,30,Desktop
221,2098,2024-09-10 08:25:08,2,52,Mobile
222,1722,2024-04-13 20:07:48,12,12,Mobile
223,1541,2024-06-17 01:12:49,12,27,Mobile
224,1864,2024-11-22 22:58:44,8,39,Mobile
225,802,2024-12-13 19:42:18,1,39,Mobile
226,1292,2024-03-04 05:03:59,2,47,Mobile
227,1527,2024-11-25 21:43:36,3,9,Mobile
228,1666,2024-05-01 20:33:06,3,41,Desktop
229,2332,2023-04-16 16:22:38,5,50,Mobile
230,1076,2024-11-03 21:54:19,2,32,Desktop
231,360,2024-01-09 11:48:01,3,29,Mobile
232,2230,2024-06-01 04:42:33,3,20,Mobile
233,1859,2024-10-01 12:28:29,5,37,Desktop
234,2596,2024-08-04 05:32:00,1,33,Mobile
235,2469,2024-11-24 05:15:08,5,38,Mobile
236,2814,2023-05-16 14:03:30,1,12,Desktop
237,1624,2024-09-15 18:58:27,1,9,Mobile
238,711,2024-02-03 12:53:13,3,20,Desktop
239,681,2024-08-19 23:37:51,5,12,Mobile
240,176,2024-09-24 16:08:30,5,49,Desktop
241,2238,2024-10-04 18:08:15,2,49,Mobile
242,1221,2024-03-24 11:34:40,2,55,Mobile
243,2840,2024-03-18 12:02:51,3,8,Desktop
244,1611,2024-11-12 02:38:55,3,36,Mobile
245,1174,2024-10-02 21:03:08,8,49,Mobile
246,1005,2024-09-23 00:03:34,8,19,Desktop
247,836,2024-10-21 04:56:48,8,50,Mobile
248,763,2024-08-27 20:17:56,5,34,Mobile
249,1980,2024-06-01 07:43:27,2,43,Desktop
250,2893,2023-07-13 14:19:50,8,58,Tablet
251,129,2024-11-18 11:51:20,3,4,Desktop
252,1822,2024-10-26 10:54:17,3,60,Desktop
253,1847,2024-11-03 23:01:31,12,20,Mobile
254,2134,2024-06-26 14:26:31,3,2,Mobile
255,2052,2024-05-18 01:25:19,5,6,Mobile
256,321,2024-02-15 05:19:04,5,16,Mobile
257,1379,2023-11-26 17:38:14,8,24,Mobile
258,2942,2023-08-15 22:40:03,1,10,Mobile
259,1025,2023-08-22 08:38:05,2,51,Mobile
260,1073,2024-09-22 17:08:45,3,36,Mobile
261,1988,2024-11-12 17:24:22,1,26,Mobile
262,578,2024-12-09 19:51:55,12,9,Desktop
263,1153,2024-11-10 16:31:29,12,12,Mobile
264,387,2023-11-04 06:21:35,1,7,Tablet
265,1035,2024-09-06 14:35:46,5,23,Mobile
266,302,2024-12-14 15:39:14,3,56,Mobile
267,1957,2023-12-18 16:05:28,8,28,Desktop
268,1716,2024-10-10 04:24:41,2,45,Mobile
269,2596,2024-08-17 23:48:37,2,49,Mobile
270,22,2024-10-27 11:06:30,1,42,Desktop
271,1386,2024-06-19 08:03:55,2,15,Mobile
272,215,2024-12-12 06:18:46,3,26,Mobile
273,980,2024-12-07 13:49:59,3,4,Desktop
274,1953,2024-11-28 13:58:56,2,49,Desktop
275,725,2024-06-16 04:16:35,3,17,Mobile
276,2967,2024-09-06 05:27:53,20,23,Desktop
277,2803,2024-10-07 23:40:35,1,52,Mobile
278,1188,2024-04-24 05:58:50,5,26,Mobile
279,876,2024-07-12 15:22:13,1,5,Mobile
280,994,2024-07-24 07:27:44,5,23,Desktop
281,2666,2024-07-02 07:23:21,1,23,Mobile
282,2589,2024-09-26 06:56:36,1,5,Desktop
283,1574,2024-02-18 00:59:46,8,59,Desktop
284,2636,2024-09-08 16:49:43,2,4,Mobile
285,1375,2024-10-17 10:14:21,8,53,Desktop
286,939,2024-08-06 02:32:04,1,10,Mobile
287,2893,2024-02-17 08:36:17,1,42,Mobile
288,2320,2024-02-29 11:15:34,2,17,Mobile
289,1981,2024-11-19 23:50:20,2,6,Mobile
290,2623,2023-11-06 10:27:41,2,11,Mobile
291,958,2024-09-03 11:48:21,2,27,Mobile
292,1702,2024-10-04 14:50:16,12,60,Desktop
293,1297,2024-10-05 00:24:43,1,57,Mobile
294,2488,2024-10-27 10:22:25,1,4,Mobile
295,90,2024-06-22 12:54:24,5,58,Mobile
296,451,2024-03-25 03:51:18,1,31,Desktop
297,2377,2024-03-13 08:14:46,2,4,Tablet
298,501,2024-07-30 00:34:59,5,26,Mobile
299,633,2024-04-11 05:32:55,1,15,Mobile
300,58,2023-11-03 06:03:16,2,47,Mobile
301,2348,2023-10-05 16:29:18,1,38,Mobile
302,831,2024-08-23 23:41:36,5,15,Mobile
303,539,2024-05-30 07:19:10,3,49,Mobile
304,1611,2024-11-12 21:26:05,8,54,Mobile
305,790,2024-12-05 13:07:48,5,18,Mobile
306,231,2024-09-12 12:59:39,1,40,Mobile
307,2714,2024-07-10 23:23:02,3,58,Desktop
308,1655,2024-05-06 04:02:15,3,43,Mobile
309,673,2024-01-02 07:20:46,5,28,Mobile
310,2138,2024-09-05 04:21:44,5,26,Mobile
311,1905,2024-06-10 13:21:23,2,40,Mobile
312,1955,2024-08-02 22:46:49,2,26,Desktop
313,866,2024-08-05 00:59:45,1,49,Desktop
314,1643,2024-12-15 17:20:18,2,28,Mobile
315,1782,2023-12-28 06:58:04,1,3,Mobile
316,1150,2024-05-09 12:29:24,2,37,Mobile
317,963,2024-11-27 11:03:14,1,54,Mobile
318,2660,2023-04-20 01:44:38,8,5,Desktop
319,2959,2024-01-06 02:32:33,1,29,Mobile
320,2545,2024-04-10 19:46:12,1,14,Desktop
321,1697,2023-05-09 09:34:20,2,4,Desktop
322,2952,2023-08-30 00:49:57,3,50,Desktop
323,1325,2024-03-08 17:59:47,8,52,Mobile
324,1255,2023-07-08 13:50:31,1,20,Mobile
325,459,2024-11-15 18:33:49,5,48,Mobile
326,923,2023-06-13 11:23:04,3,43,Mobile
327,832,2024-05-03 13:03:51,20,49,Mobile
328,721,2024-10-20 02:32:13,1,26,Desktop
329,2517,2024-12-13 10:57:55,12,22,Mobile
330,1853,2024-11-23 23:39:02,3,30,Mobile
331,1487,2024-11-03 14:05:34,8,59,Mobile
332,2827,2024-09-25 09:14:00,3,31,Mobile
333,2767,2024-12-05 06:05:01,20,47,Mobile
334,564,2024-12-08 10:55:32,3,32,Mobile
335,143,2024-11-10 19:02:46,20,35,Mobile
336,2051,2023-07-12 14:23:00,5,7,Desktop
337,1409,2024-01-06 13:07:26,12,6,Mobile
338,1321,2023-10-23 18:34:15,12,14,Mobile
339,2570,2023-12-16 11:02:19,3,43,Desktop
340,2938,2024-10-22 13:47:37,5,26,Desktop
341,1127,2024-12-08 04:28:11,3,7,Mobile
342,1371,2024-08-21 16:05:22,5,12,Desktop
343,24,2024-08-21 20:11:13,8,33,Mobile
344,1617,2024-08-14 04:29:47,5,17,Mobile
345,1885,2024-04-10 07:49:46,3,12,Desktop
346,344,2024-12-02 05:29:49,1,60,Mobile
347,1223,2024-05-30 21:49:09,5,55,Mobile
348,583,2024-09-11 16:41:43,5,21,Mobile
349,304,2024-06-23 14:39:38,8,42,Tablet
350,696,2024-11-18 02:27:12,5,43,Mobile
351,2406,2024-10-24 01:35:07,5,22,Mobile
352,342,2024-11-17 16:07:39,20,28,Mobile
353,2834,2024-04-10 22:16:51,3,8,Desktop
354,339,2024-09-06 15:11:43,1,3,Desktop
355,1247,2024-07-16 13:53:33,3,6,Mobile
356,2620,2024-10-15 08:22:25,5,30,Tablet
357,2692,2024-05-17 12:04:55,1,48,Mobile
358,609,2024-08-03 10:20:37,5,28,Desktop
359,628,2024-04-22 13:55:19,8,20,Mobile
360,2437,2023-07-21 09:30:45,12,7,Mobile
361,717,2024-12-03 15:46:29,5,13,Mobile
362,375,2024-06-03 00:38:13,1,3,Mobile
363,1133,2024-10-25 21:52:37,3,25,Mobile
364,627,2024-09-10 14:26:50,3,7,Mobile
365,2456,2024-03-18 06:53:43,5,28,Mobile
366,1258,2024-01-07 17:38:10,2,37,Mobile
367,503,2024-08-01 12:39:26,1,30,Mobile
368,1978,2024-10-18 17:57:50,5,47,Desktop
369,922,2024-04-29 23:07:23,3,57,Mobile
370,2471,2024-08-09 23:28:59,1,12,Desktop
371,1579,2024-04-23 01:15:51,1,3,Mobile
372,2597,2024-11-26 02:02:41,2,21,Mobile
373,2458,2024-03-10 22:42:50,5,15,Desktop
374,1468,2024-01-26 06:51:34,3,41,Mobile
375,1167,2024-11-15 16:23:17,12,60,Mobile
376,2954,2024-09-29 04:53:34,3,47,Mobile
377,879,2024-08-11 00:49:07,1,14,Mobile
378,2735,2024-12-10 15:36:59,2,18,Mobile
379,693,2024-06-06 05:02:06,8,32,Desktop
380,2415,2024-12-15 16:53:27,3,21,Desktop
381,850,2023-03-31 04:09:46,3,3,Mobile
382,2797,2024-11-05 23:29:58,2,24,Desktop
383,1126,2024-12-04 15:48:04,2,46,Mobile
384,650,2024-02-25 19:37:32,8,12,Desktop
385,1780,2023-12-19 08:13:55,2,16,Desktop
386,1516,2024-07-28 15:50:49,1,18,Desktop
387,2719,2024-11-28 12:29:54,3,7,Desktop
388,2688,2024-01-27 08:02:48,5,9,Mobile
389,320,2024-07-06 15:27:55,3,48,Desktop
390,1115,2024-11-06 09:19:30,2,52,Mobile
391,1624,2024-05-12 02:18:32,3,43,Mobile
392,1480,2024-08-03 02:24:08,5,15,Desktop
393,1068,2024-11-15 06:55:40,2,41,Desktop
394,1124,2024-06-28 08:15:52,3,1,Mobile
395,2531,2024-09-20 14:56:29,3,32,Desktop
396,1232,2024-02-10 12:24:17,8,30,Mobile
397,2280,2024-11-27 15:21:57,3,39,Desktop
398,617,2024-11-20 12:31:53,12,39,Desktop
399,373,2024-10-26 06:02:16,8,49,Desktop
400,548,2023-03-31 06:43:11,2,28,Mobile
401,412,2024-12-02 06:24:14,1,33,Desktop
402,1786,2024-08-15 21:44:48,8,35,Mobile
403,1732,2024-01-15 07:03:15,5,54,Desktop
404,2617,2024-05-19 07:38:07,3,9,Mobile
405,2741,2024-10-11 03:09:16,2,16,Mobile
406,1062,2024-11-27 05:47:57,2,22,Mobile
407,918,2024-12-15 21:58:40,2,44,Mobile
408,530,2024-09-25 10:29:18,5,46,Mobile
409,1945,2024-07-12 02:02:12,8,9,Desktop
410,2552,2024-09-04 09:19:02,3,4,Mobile
411,2829,2024-07-12 05:31:12,5,14,Tablet
412,2541,2024-08-20 06:43:27,3,25,Mobile
413,2311,2024-03-18 13:29:09,3,45,Mobile
414,608,2024-03-04 08:15:54,2,45,Mobile
415,1380,2024-08-29 02:42:59,3,31,Mobile
416,2613,2024-10-23 06:11:28,3,16,Mobile
417,2180,2024-08-31 23:58:14,1,56,Desktop
418,741,2024-11-16 00:40:46,2,34,Mobile
419,2330,2024-08-07 03:47:54,5,52,Desktop
420,392,2024-06-08 01:39:49,2,58,Mobile
421,2450,2024-07-22 12:00:52,2,38,Mobile
422,1820,2024-10-27 04:30:54,1,59,Tablet
423,126,2024-08-28 15:05:52,2,54,Tablet
424,151,2024-11-07 20:54:32,5,30,Mobile
425,974,2024-06-27 14:47:42,8,17,Mobile
426,2633,2024-08-03 16:19:25,5,35,Mobile
427,2497,2024-08-24 18:16:24,5,27,Mobile
428,2346,2024-12-12 22:53:59,3,40,Mobile
429,2934,2024-07-10 13:28:09,5,17,Desktop
430,1628,2023-11-04 21:00:35,3,17,Desktop
431,1035,2024-11-28 10:09:37,8,8,Mobile
432,1697,2023-05-27 02:07:31,5,45,Desktop
433,2047,2024-01-05 22:57:32,12,30,Mobile
434,2185,2024-11-23 12:54:35,5,4,Desktop
435,1316,2024-11-15 16:37:19,5,43,Mobile
436,508,2023-10-20 17:31:55,2,32,Desktop
437,1674,2024-11-27 20:05:43,3,38,Mobile
438,145,2024-07-13 16:32:55,5,19,Mobile
439,1065,2024-11-14 02:35:29,1,18,Desktop
440,930,2024-01-07 17:12:24,3,28,Desktop
441,2921,2024-09-22 03:09:05,3,51,Mobile
442,570,2024-11-24 06:57:38,5,27,Mobile
443,2799,2024-07-21 21:47:31,3,16,Desktop
444,2659,2023-07-04 04:11:31,2,2,Mobile
445,2136,2024-07-22 18:42:08,2,45,Tablet
446,1559,2024-10-29 13:19:28,2,17,Desktop
447,1207,2024-09-30 02:03:40,8,55,Mobile
448,2755,2024-07-04 11:53:05,1,49,Mobile
449,2590,2024-07-17 21:30:09,1,29,Mobile
450,2641,2024-08-27 20:33:29,2,35,Desktop
451,1544,2024-07-15 17:38:31,3,36,Desktop
452,1279,2024-05-17 08:39:14,12,14,Mobile
453,2932,2024-10-14 01:50:35,1,13,Desktop
454,1355,2024-03-19 02:07:44,5,22,Mobile
455,1388,2024-10-24 20:44:40,5,10,Desktop
456,1314,2024-08-28 19:24:21,3,47,Tablet
457,2869,2023-07-14 10:07:52,2,36,Mobile
458,2489,2023-05-25 04:41:59,8,38,Mobile
459,1923,2024-10-13 14:33:02,8,17,Mobile
460,2820,2024-09-18 11:30:42,8,49,Mobile
461,2920,2024-04-22 13:20:55,5,8,Desktop
462,174,2024-09-28 12:38:32,3,40,Desktop
463,2390,2024-02-14 11:25:26,5,57,Mobile
464,779,2024-10-14 06:15:57,8,3,Desktop
465,2937,2024-05-01 04:04:12,1,14,Mobile
466,772,2024-11-27 01:29:39,2,19,Mobile
467,1939,2024-08-20 23:45:19,8,18,Desktop
468,499,2024-05-19 06:24:02,2,59,Mobile
469,1073,2024-07-17 11:51:26,1,33,Mobile
470,593,2024-09-03 06:15:13,1,37,Mobile
471,1401,2024-09-15 13:30:33,1,11,Tablet
472,298,2024-12-07 17:52:57,8,51,Mobile
473,54,2024-02-16 07:05:40,3,16,Desktop
474,2060,2024-03-11 11:08:08,3,41,Tablet
475,712,2024-10-08 20:33:48,5,29,Desktop
476,736,2024-12-09 09:23:31,1,49,Mobile
477,1082,2024-09-21 08:40:14,1,48,Mobile
478,2467,2024-07-03 00:23:27,2,35,Desktop
479,1109,2023-09-16 08:19:43,5,15,Desktop
480,2962,2024-06-10 02:36:27,5,19,Mobile
481,820,2024-12-04 19:35:05,12,29,Mobile
482,452,2024-04-04 12:03:35,3,57,Mobile
483,758,2024-04-24 10:00:18,8,12,Mobile
484,587,2024-04-25 03:18:21,8,28,Mobile
485,451,2024-02-25 13:20:21,2,32,Desktop
486,925,2024-05-03 19:12:52,3,11,Mobile
487,1033,2023-03-05 04:33:20,3,16,Mobile
488,1411,2024-10-23 21:10:57,8,58,Mobile
489,2103,2024-09-23 17:00:05,1,39,Mobile
490,1066,2023-08-07 03:28:07,1,48,Mobile
491,1090,2024-08-02 00:31:16,3,26,Desktop
492,2920,2024-02-26 12:03:57,1,12,Tablet
493,2333,2023-08-21 22:02:42,3,42,Tablet
494,448,2024-07-13 10:36:32,5,45,Mobile
495,598,2023-07-21 05:35:25,12,30,Mobile
496,1094,2024-08-29 01:09:08,5,16,Desktop
497,1397,2024-11-24 13:10:38,2,29,Mobile
498,494,2024-11-27 09:10:02,8,5,Desktop
499,2998,2024-12-14 06:25:09,1,46,Mobile
500,2591,2024-08-08 12:06:53,3,53,Mobile
501,932,2024-10-23 02:42:28,1,2,Mobile
502,870,2024-01-23 23:43:52,5,55,Desktop
503,2421,2024-04-16 00:03:00,2,22,Desktop
504,1529,2024-05-24 17:39:35,5,22,Mobile
505,1653,2024-09-19 05:28:32,8,47,Mobile
506,1995,2024-08-18 04:00:09,5,21,Mobile
507,2375,2024-10-31 16:21:48,12,24,Desktop
508,142,2024-12-02 09:23:38,1,27,Mobile
509,2532,2024-04-18 22:06:31,5,7,Desktop
510,1959,2024-12-06 08:13:44,3,26,Desktop
511,1278,2024-01-21 18:16:53,5,53,Desktop
512,9,2024-10-07 15:15:13,20,30,Mobile
513,785,2024-04-05 01:27:05,12,40,Mobile
514,1030,2024-02-03 23:54:20,8,27,Desktop
515,394,2024-03-07 10:24:23,12,33,Desktop
516,1842,2024-09-28 06:38:34,1,28,Desktop
517,1919,2024-10-20 17:38:57,8,19,Mobile
518,2313,2024-12-05 01:57:03,8,43,Desktop
519,1645,2024-08-30 15:37:26,3,12,Mobile
520,1879,2024-04-24 10:20:15,2,2,Tablet
521,417,2024-12-08 11:20:54,2,38,Desktop
522,2333,2024-10-29 19:49:47,2,41,Mobile
