product_id,product_name,category,subcategory,price,cost,brand,stock_quantity,created_date
18,Operative directional attitude Smartphones,Electronics,Smartphones,931.93,534.33,Ferguson LLC,12,2022-07-23
19,Universal secondary ability Audio,Electronics,Audio,771.15,438.74,"Brown, Russell and Gamble",329,2022-06-09
20,Optional 24/7 Local Area Network Laptops,Electronics,Laptops,1628.88,1128.4,Stewart PLC,48,2022-10-15
21,De-engineered responsive encryption Laptops,Electronics,Laptops,1736.41,949.72,Ellis Group,127,2022-02-12
22,Enterprise-wide responsive parallelism Audio,Electronics,Audio,1252.15,678.73,Perry-Li,370,2022-10-18
23,Distributed explicit analyzer Smartphones,Electronics,Smartphones,1546.45,735.5,Nielsen PLC,159,2022-06-22
24,Streamlined web-enabled firmware Smartphones,Electronics,Smartphones,676.81,385.51,"Ryan, Martin and Stevens",208,2022-01-03
25,Integrated client-driven knowledge user Laptops,Electronics,Laptops,1522.32,971.86,Lawson LLC,279,2022-09-13
26,Distributed value-added time-frame Laptops,Electronics,Laptops,677.58,415.13,Martin and Sons,263,2022-10-12
27,Focused explicit structure Smartphones,Electronics,Smartphones,880.12,372.51,Allison-Brown,65,2022-01-07
28,Multi-channeled exuding contingency Smartphones,Electronics,Smartphones,374.08,198.74,"Mcpherson, Garcia and Holt",497,2022-02-28
29,Multi-tiered radical forecast Audio,Electronics,Audio,1015.61,597.03,Collier-Buck,268,2022-09-07
30,Fully-configurable foreground support Audio,Electronics,Audio,828.84,405.32,Watkins and Sons,222,2022-05-31
31,Re-engineered client-driven Graphical User Interface Accessories,Electronics,Accessories,1249.45,639.08,"Walker, Thomas and Wall",332,2022-03-26
32,Pre-emptive 3rdgeneration array Accessories,Electronics,Accessories,1070.34,493.79,"Williams, Rios and Davies",314,2023-01-01
33,Object-based intangible database Accessories,Electronics,Accessories,970.61,449.57,"Juarez, Walker and Ware",169,2022-03-11
34,Diverse explicit website Audio,Electronics,Audio,69.15,36.3,Bowen-Cordova,76,2022-08-29
35,Customer-focused uniform budgetary management Smartphones,Electronics,Smartphones,658.09,300.29,"Lozano, Carroll and Cooper",355,2022-02-18
36,De-engineered bi-directional process improvement Audio,Electronics,Audio,695.52,290.96,"Church, Solis and Patterson",239,2022-11-01
37,Future-proofed 4thgeneration architecture Smartphones,Electronics,Smartphones,733.38,416.37,"Delgado, Mendoza and Wells",115,2022-06-26
38,Open-source asynchronous support Smartphones,Electronics,Smartphones,1859.37,896.91,Juarez-Riddle,420,2022-08-07
39,Enterprise-wide methodical help-desk Accessories,Electronics,Accessories,766.19,482.77,"Lopez, Gonzales and Nichols",478,2022-05-11
40,Organized context-sensitive hub Laptops,Electronics,Laptops,201.08,89.63,Klein-Harding,374,2022-04-21
41,User-centric methodical algorithm Laptops,Electronics,Laptops,562.73,242.37,Singh and Sons,408,2022-09-25
42,Switchable 3rdgeneration Graphical User Interface Audio,Electronics,Audio,693.81,438.21,"Hill, Estes and Gardner",303,2022-11-06
43,Programmable stable definition Audio,Electronics,Audio,458.15,183.63,Shaffer PLC,118,2022-04-21
44,Front-line maximized monitoring Laptops,Electronics,Laptops,329.5,178.8,Blake PLC,0,2022-06-15
45,Total didactic model Smartphones,Electronics,Smartphones,317.1,203.63,Bradshaw and Sons,217,2022-12-07
46,Open-architected high-level complexity Accessories,Electronics,Accessories,639.99,401.92,"Herring, Hernandez and Rich",123,2022-10-14
47,Adaptive stable hierarchy Audio,Electronics,Audio,1559.14,954.0,Black PLC,181,2022-06-09
48,Horizontal actuating pricing structure Accessories,Electronics,Accessories,1084.84,721.4,Kelly Inc,431,2022-04-20
49,Face-to-face fault-tolerant policy Accessories,Electronics,Accessories,1437.13,936.96,Campos PLC,286,2022-08-15
50,Fully-configurable responsive benchmark Accessories,Electronics,Accessories,1386.47,786.64,"Cruz, Taylor and Smith",222,2022-11-30
51,Innovative static customer loyalty Laptops,Electronics,Laptops,99.33,50.63,"Powell, Taylor and Gibson",238,2022-12-10
52,Phased clear-thinking knowledge user Audio,Electronics,Audio,466.87,265.15,Nguyen Inc,471,2022-04-08
53,Programmable background monitoring Accessories,Electronics,Accessories,399.06,249.13,Farrell Inc,5,2022-04-11
54,Distributed zero-defect approach Accessories,Electronics,Accessories,1075.71,432.1,Owens-Bennett,158,2022-06-18
55,Team-oriented 4thgeneration hub Accessories,Electronics,Accessories,1835.82,1011.24,Webb Inc,6,2022-11-07
56,Secured full-range alliance Smartphones,Electronics,Smartphones,1312.08,777.41,Hill Ltd,203,2022-01-23
57,Triple-buffered exuding data-warehouse Accessories,Electronics,Accessories,1269.28,877.51,Snyder-Shannon,421,2022-01-16
58,Open-source local process improvement Audio,Electronics,Audio,1006.09,545.34,Stein PLC,447,2022-11-28
59,Assimilated coherent budgetary management Smartphones,Electronics,Smartphones,124.48,50.87,"Wilson, Chan and Gutierrez",457,2023-01-01
60,Universal cohesive ability Laptops,Electronics,Laptops,1748.28,768.36,Rodriguez-Warren,214,2022-03-03
61,Organized even-keeled service-desk Audio,Electronics,Audio,1293.08,541.41,Davenport Group,49,2022-10-06
62,Programmable upward-trending access Laptops,Electronics,Laptops,1327.46,824.67,Thomas-Blake,170,2022-12-11
63,Progressive 24/7 secured line Laptops,Electronics,Laptops,1816.16,1046.21,"Boyle, Johnson and Jenkins",483,2022-07-07
64,User-friendly transitional methodology Smartphones,Electronics,Smartphones,1884.06,981.5,Farrell Ltd,428,2022-12-08
65,Total bottom-line website Smartphones,Electronics,Smartphones,426.23,267.84,Martinez-Gay,75,2022-05-17
66,Adaptive homogeneous interface Laptops,Electronics,Laptops,914.63,441.45,Woodward-Evans,101,2022-12-19
67,Triple-buffered holistic service-desk Audio,Electronics,Audio,387.29,241.69,"Murillo, Brewer and Day",428,2022-01-02
68,Centralized local implementation Accessories,Electronics,Accessories,1143.09,497.6,"Anderson, Jones and Valencia",238,2022-10-18
69,Decentralized contextually-based forecast Audio,Electronics,Audio,221.92,149.89,"Mckay, Jones and Simmons",93,2022-02-14
70,Switchable 24/7 firmware Accessories,Electronics,Accessories,1202.74,829.57,"Galloway, Green and Wells",392,2022-03-28
71,Open-architected intangible interface Laptops,Electronics,Laptops,1293.99,696.3,"Newton, Oneal and Dunn",449,2022-05-07
72,Multi-layered 24hour contingency Laptops,Electronics,Laptops,1507.45,936.78,"Young, Griffin and Delacruz",158,2022-01-28
73,Optimized homogeneous firmware Accessories,Electronics,Accessories,397.11,175.57,"Porter, Wood and Riley",161,2022-07-31
74,Centralized disintermediate neural-net Laptops,Electronics,Laptops,581.96,267.57,Davis-Johnson,151,2022-05-13
75,Total 24/7 application Accessories,Electronics,Accessories,230.2,116.61,Kramer-Cox,186,2022-06-28
76,Sharable explicit core Audio,Electronics,Audio,1667.53,1010.71,"Skinner, Hunt and Best",87,2022-01-19
77,Profit-focused stable Graphic Interface Audio,Electronics,Audio,353.62,201.78,"Fuentes, Scott and Powell",359,2022-08-11
78,Synchronized solution-oriented instruction set Accessories,Electronics,Accessories,454.52,277.21,"Hammond, Rose and Lester",257,2022-10-10
79,Horizontal client-driven Local Area Network Smartphones,Electronics,Smartphones,1050.88,486.79,Peterson-Wilson,111,2022-08-28
80,Adaptive radical task-force Smartphones,Electronics,Smartphones,1847.74,1025.7,"Palmer, Campbell and Chavez",323,2022-04-06
81,Fundamental 24/7 strategy Laptops,Electronics,Laptops,961.13,477.58,Burgess-Francis,288,2022-07-13
82,Total intermediate function Smartphones,Electronics,Smartphones,678.63,292.75,Perez LLC,183,2022-01-05
83,Focused exuding service-desk Audio,Electronics,Audio,977.22,489.59,Gonzalez-Stevens,462,2022-02-21
84,Enhanced stable utilization Accessories,Electronics,Accessories,647.24,349.54,Osborne Ltd,95,2022-01-12
85,Customer-focused even-keeled portal Audio,Electronics,Audio,1207.47,734.56,Williams Inc,374,2022-07-24
86,Realigned client-server matrix Laptops,Electronics,Laptops,542.52,277.75,"Lawson, Mckinney and Hunt",172,2022-09-05
87,Fully-configurable 3rdgeneration algorithm Accessories,Electronics,Accessories,128.25,87.04,Reeves-Jones,119,2022-09-17
88,Enterprise-wide regional definition Audio,Electronics,Audio,880.49,423.35,Norman-Salazar,295,2022-07-25
89,Polarized real-time algorithm Smartphones,Electronics,Smartphones,369.85,166.4,Davis Inc,153,2022-11-02
90,Advanced maximized moderator Laptops,Electronics,Laptops,1905.41,1086.84,"Bentley, Montoya and Watson",71,2022-03-08
91,Adaptive radical definition Smartphones,Electronics,Smartphones,1942.13,957.05,"Ramirez, Walters and Hartman",392,2022-03-14
92,Monitored actuating functionalities Audio,Electronics,Audio,822.19,442.48,"Roberts, Jenkins and Johnson",337,2022-03-17
93,Distributed incremental hub Laptops,Electronics,Laptops,637.5,270.37,Choi Inc,120,2022-04-15
94,Diverse optimizing frame Smartphones,Electronics,Smartphones,1462.06,652.43,Sullivan Ltd,284,2022-07-11
95,Pre-emptive disintermediate time-frame Audio,Electronics,Audio,360.69,155.09,Rivera and Sons,281,2022-12-18
96,Managed needs-based budgetary management Laptops,Electronics,Laptops,1830.02,1098.98,Baker and Sons,425,2022-08-26
97,Multi-tiered directional definition Smartphones,Electronics,Smartphones,805.77,399.26,Hurley Inc,478,2022-03-10
98,Multi-channeled solution-oriented customer loyalty Accessories,Electronics,Accessories,1801.14,1163.42,Patrick-Rogers,373,2022-08-06
99,Organic uniform definition Audio,Electronics,Audio,1091.52,550.19,Stuart-Tucker,342,2022-10-28
100,Re-contextualized asynchronous function Laptops,Electronics,Laptops,1776.9,805.73,"Contreras, Church and Jones",120,2022-07-08
101,Streamlined interactive toolset Accessories,Electronics,Accessories,1027.84,411.63,"Franco, Brown and Spencer",306,2022-07-23
102,Programmable value-added support Laptops,Electronics,Laptops,319.26,145.71,Brown-Beck,108,2022-06-04
103,Fundamental coherent groupware Smartphones,Electronics,Smartphones,712.19,424.62,Russell-Bishop,217,2022-03-19
104,Automated actuating instruction set Accessories,Electronics,Accessories,804.29,519.88,Williams-Mendoza,17,2022-05-14
105,Secured upward-trending software Laptops,Electronics,Laptops,368.91,223.08,Cobb-Coleman,427,2022-02-24
106,Right-sized composite moratorium Smartphones,Electronics,Smartphones,725.26,449.52,Burke Group,335,2022-07-27
107,Synergized foreground website Laptops,Electronics,Laptops,672.1,384.71,"Murillo, Mitchell and Bentley",196,2022-12-18
108,Streamlined object-oriented forecast Smartphones,Electronics,Smartphones,997.97,686.58,Wright-Williams,205,2022-08-05
109,Proactive disintermediate encryption Accessories,Electronics,Accessories,878.71,547.1,Watson-Myers,59,2022-11-06
110,Front-line executive policy Accessories,Electronics,Accessories,1572.96,965.18,"Gomez, Alvarado and Cortez",432,2022-10-01
111,Self-enabling asymmetric core Smartphones,Electronics,Smartphones,1581.71,1098.06,Adams LLC,272,2022-07-16
112,Configurable static moderator Laptops,Electronics,Laptops,63.57,43.51,"Jones, Mercado and Phelps",362,2022-10-30
113,Team-oriented reciprocal open system Laptops,Electronics,Laptops,1054.05,615.94,Dunlap-Brooks,446,2022-08-21
114,Multi-layered 24/7 knowledge user Smartphones,Electronics,Smartphones,956.29,393.95,"Anderson, Coffey and Lambert",444,2022-09-08
115,Synergized foreground definition Accessories,Electronics,Accessories,147.64,85.6,Pineda LLC,189,2022-05-10
116,Switchable bandwidth-monitored info-mediaries Accessories,Electronics,Accessories,1366.24,860.8,"Wilson, Lindsey and Smith",12,2022-10-05
117,Down-sized reciprocal infrastructure Laptops,Electronics,Laptops,621.82,326.53,Fuller Group,228,2022-06-16
118,Balanced holistic budgetary management Smartphones,Electronics,Smartphones,1211.77,614.58,Adams-Morris,18,2022-09-30
119,Switchable bottom-line architecture Laptops,Electronics,Laptops,391.71,219.55,Watts Group,64,2022-03-16
120,De-engineered zero-defect firmware Audio,Electronics,Audio,890.65,429.66,Martin-Lopez,497,2022-08-23
121,Advanced heuristic Graphic Interface Laptops,Electronics,Laptops,1841.61,1235.86,"Ramirez, Stewart and Alexander",477,2022-09-26
122,Persevering zero tolerance capability Audio,Electronics,Audio,129.25,64.36,Sanchez-Villa,19,2022-03-17
123,Open-source systemic open architecture Smartphones,Electronics,Smartphones,794.73,551.61,"Rodriguez, Lane and Munoz",40,2022-06-22
124,Advanced tertiary emulation Accessories,Electronics,Accessories,873.93,355.44,Ferguson and Sons,486,2022-05-12
125,Seamless reciprocal attitude Smartphones,Electronics,Smartphones,1681.86,891.44,Gonzalez PLC,59,2022-04-09
126,Grass-roots directional definition Shoes,Fashion,Shoes,298.55,174.55,Jackson-Anderson,276,2022-05-05
127,De-engineered tertiary benchmark Shoes,Fashion,Shoes,178.4,82.88,"Conner, Blackburn and Garcia",478,2022-08-12
128,Polarized systemic artificial intelligence Women Clothing,Fashion,Women Clothing,93.9,56.47,Williams-Guzman,309,2022-07-24
129,Organic heuristic Graphical User Interface Shoes,Fashion,Shoes,92.71,48.41,Livingston-Gilmore,9,2022-08-01
130,Switchable modular functionalities Women Clothing,Fashion,Women Clothing,93.31,50.27,Mcclure-Jimenez,404,2022-11-22
131,Public-key contextually-based methodology Men Clothing,Fashion,Men Clothing,78.08,31.66,Tucker Group,166,2022-04-24
132,Future-proofed fresh-thinking solution Shoes,Fashion,Shoes,222.53,129.69,Maxwell-King,235,2022-10-29
133,Streamlined dynamic infrastructure Shoes,Fashion,Shoes,169.32,91.89,"Anderson, Adams and Smith",285,2022-01-07
134,Reactive real-time array Shoes,Fashion,Shoes,106.1,68.62,"Boyd, Stout and Carr",77,2022-08-25
135,Reduced local flexibility Women Clothing,Fashion,Women Clothing,166.69,75.18,Mullen-Gutierrez,199,2022-05-11
136,Synchronized object-oriented strategy Men Clothing,Fashion,Men Clothing,203.3,116.16,Santana Inc,40,2022-11-20
137,Horizontal optimal implementation Shoes,Fashion,Shoes,38.68,24.15,"Pittman, Mullins and Ali",271,2022-07-09
138,Devolved well-modulated moratorium Shoes,Fashion,Shoes,228.99,122.61,"Young, Giles and Roach",239,2022-01-16
139,Total bifurcated circuit Women Clothing,Fashion,Women Clothing,192.92,109.86,"Rogers, Ward and Quinn",212,2022-01-12
140,Open-source optimal database Bags,Fashion,Bags,297.06,152.27,Osborn-Li,275,2022-03-09
141,Focused background matrix Men Clothing,Fashion,Men Clothing,42.64,19.85,"Larsen, Olsen and Watts",56,2022-10-20
142,Reverse-engineered static orchestration Women Clothing,Fashion,Women Clothing,261.49,164.76,"Thompson, Alexander and Green",376,2022-07-25
143,Intuitive hybrid projection Bags,Fashion,Bags,115.33,53.67,Young-Welch,461,2022-11-03
144,Digitized next generation alliance Shoes,Fashion,Shoes,234.59,138.19,"Sanders, Brown and Costa",340,2022-12-18
145,Polarized client-server implementation Shoes,Fashion,Shoes,158.16,88.53,Mason-Martinez,115,2022-07-26
146,Multi-channeled 4thgeneration array Bags,Fashion,Bags,96.59,65.43,Jacobs Ltd,80,2022-04-01
147,Multi-tiered 5thgeneration paradigm Shoes,Fashion,Shoes,15.95,10.35,Barnes and Sons,390,2022-08-26
148,Operative cohesive service-desk Women Clothing,Fashion,Women Clothing,209.76,90.09,Wall and Sons,297,2022-12-01
149,Future-proofed value-added framework Bags,Fashion,Bags,131.93,77.96,"Rodriguez, Hall and White",316,2022-04-25
150,Reactive contextually-based throughput Men Clothing,Fashion,Men Clothing,185.88,115.18,Smith-Simmons,484,2022-01-12
151,Monitored methodical Internet solution Women Clothing,Fashion,Women Clothing,62.44,36.69,"Cox, Stewart and Turner",350,2022-02-16
152,Fundamental well-modulated Internet solution Men Clothing,Fashion,Men Clothing,226.75,150.8,Porter PLC,334,2022-07-19
153,Synchronized eco-centric open architecture Women Clothing,Fashion,Women Clothing,257.34,115.39,"Hall, Davies and Stewart",188,2022-05-03
154,Centralized mission-critical archive Bags,Fashion,Bags,282.09,190.81,Davis-Garcia,165,2022-03-09
155,Optional even-keeled workforce Men Clothing,Fashion,Men Clothing,269.92,124.73,Velasquez Inc,236,2022-08-24
156,Inverse neutral algorithm Bags,Fashion,Bags,297.07,189.84,Perry-Dillon,498,2022-08-25
157,User-friendly uniform methodology Men Clothing,Fashion,Men Clothing,244.05,158.97,Jones-Roberts,446,2022-03-23
158,Operative interactive hub Bags,Fashion,Bags,220.78,92.94,"Martinez, Hernandez and Martinez",383,2022-01-17
159,Multi-lateral interactive extranet Bags,Fashion,Bags,260.72,109.79,"Nguyen, Berry and Davis",213,2022-05-14
160,Up-sized next generation service-desk Men Clothing,Fashion,Men Clothing,219.0,127.48,"Christian, Lopez and Butler",273,2023-01-01
161,Persevering bifurcated access Bags,Fashion,Bags,152.03,93.93,Rodriguez-Forbes,149,2022-07-23
162,Innovative needs-based knowledge user Shoes,Fashion,Shoes,128.84,87.38,"Clark, Zhang and Baker",322,2022-11-29
163,Profit-focused maximized adapter Bags,Fashion,Bags,239.42,103.21,"Brown, Hall and Anderson",433,2022-05-15
164,Multi-channeled stable definition Men Clothing,Fashion,Men Clothing,220.77,112.58,Duffy-Cabrera,336,2022-06-23
165,Profit-focused full-range capacity Women Clothing,Fashion,Women Clothing,241.73,111.93,"Yoder, Ramirez and Gray",49,2022-06-18
166,Stand-alone full-range access Men Clothing,Fashion,Men Clothing,145.6,89.21,"Hill, Cross and Middleton",385,2022-05-06
167,Switchable well-modulated circuit Shoes,Fashion,Shoes,99.16,52.89,"Hernandez, Wilson and Ross",403,2022-08-19
168,Quality-focused bandwidth-monitored standardization Shoes,Fashion,Shoes,184.41,115.88,Bishop and Sons,75,2022-09-25
169,Optimized neutral monitoring Men Clothing,Fashion,Men Clothing,77.99,39.87,Brown Inc,185,2023-01-01
170,Ameliorated system-worthy installation Shoes,Fashion,Shoes,284.27,127.21,Hernandez-Huerta,324,2022-06-06
171,Fully-configurable maximized Local Area Network Bags,Fashion,Bags,206.88,92.34,Jones and Sons,412,2022-12-22
172,User-centric bifurcated task-force Women Clothing,Fashion,Women Clothing,188.12,123.73,Martin Ltd,131,2022-11-23
173,Multi-channeled fault-tolerant challenge Men Clothing,Fashion,Men Clothing,257.51,148.06,"Nunez, Nguyen and Palmer",75,2022-10-27
174,Polarized 6thgeneration hub Shoes,Fashion,Shoes,118.79,65.64,Williamson and Sons,445,2022-09-22
175,Multi-lateral tangible service-desk Bags,Fashion,Bags,191.26,86.28,Anderson and Sons,176,2022-11-26
176,Multi-channeled fresh-thinking protocol Shoes,Fashion,Shoes,164.15,84.27,Williams LLC,474,2022-09-06
177,Phased even-keeled capacity Women Clothing,Fashion,Women Clothing,263.17,143.33,"Tran, Turner and Murray",247,2022-07-14
178,Open-architected bandwidth-monitored software Men Clothing,Fashion,Men Clothing,112.57,55.47,"Carrillo, Mitchell and Dixon",114,2022-03-18
179,Visionary solution-oriented pricing structure Men Clothing,Fashion,Men Clothing,200.25,101.52,"Acevedo, Bolton and Hernandez",235,2022-10-19
180,Realigned transitional middleware Men Clothing,Fashion,Men Clothing,254.39,166.3,"Mckinney, Obrien and Keller",400,2022-09-26
181,Seamless needs-based benchmark Women Clothing,Fashion,Women Clothing,118.61,48.61,"Dunn, Trujillo and Evans",320,2022-02-20
182,Automated discrete process improvement Men Clothing,Fashion,Men Clothing,92.37,63.6,Silva-Whitney,433,2022-10-03
183,Quality-focused radical core Men Clothing,Fashion,Men Clothing,142.29,79.24,Solis PLC,125,2022-05-12
184,Object-based systemic framework Women Clothing,Fashion,Women Clothing,80.08,49.27,"Miller, Nguyen and Stone",90,2022-01-21
185,Front-line holistic capability Shoes,Fashion,Shoes,172.31,73.65,Sanders-Stevens,97,2022-02-02
186,Optimized exuding complexity Shoes,Fashion,Shoes,32.35,15.15,Gardner-Moreno,299,2022-10-25
187,Cross-group radical support Bags,Fashion,Bags,43.01,28.58,"Parks, Gardner and Bailey",26,2022-06-13
188,Profit-focused national toolset Men Clothing,Fashion,Men Clothing,70.98,30.87,"Barron, Williams and Davenport",42,2022-09-01
189,Total mission-critical core Men Clothing,Fashion,Men Clothing,169.58,78.77,"Anderson, Payne and Peters",249,2022-06-03
190,Cross-group multi-state framework Men Clothing,Fashion,Men Clothing,180.79,119.02,Townsend LLC,57,2022-08-15
191,Profound grid-enabled paradigm Women Clothing,Fashion,Women Clothing,182.85,107.97,Duffy Group,386,2022-08-22
192,Ergonomic heuristic adapter Shoes,Fashion,Shoes,230.05,133.52,Calderon-Reese,252,2022-11-20
193,Intuitive static methodology Shoes,Fashion,Shoes,159.58,88.45,Allen Inc,487,2022-11-27
194,Operative disintermediate knowledge user Shoes,Fashion,Shoes,262.17,124.45,Lopez-Hanson,140,2022-12-14
195,Multi-layered reciprocal migration Shoes,Fashion,Shoes,193.39,83.82,Velez and Sons,387,2022-04-04
196,Total zero tolerance interface Men Clothing,Fashion,Men Clothing,105.97,73.36,"Garcia, Barber and Rodriguez",240,2022-09-11
197,Expanded optimal emulation Women Clothing,Fashion,Women Clothing,33.68,17.84,Johnson Ltd,155,2022-02-18
198,Universal neutral artificial intelligence Shoes,Fashion,Shoes,196.8,110.52,Mccann Inc,93,2022-04-10
199,Switchable holistic function Women Clothing,Fashion,Women Clothing,75.77,41.71,Freeman Group,163,2022-09-29
200,Virtual 6thgeneration contingency Men Clothing,Fashion,Men Clothing,210.15,142.54,"Tran, Taylor and Williams",107,2022-10-20
201,Public-key high-level orchestration Shoes,Fashion,Shoes,59.57,37.52,"Carter, Wilson and Hall",402,2022-03-29
202,Cloned bottom-line Graphical User Interface Women Clothing,Fashion,Women Clothing,107.82,59.83,"Velazquez, Brown and Miller",242,2022-12-01
203,Digitized demand-driven knowledgebase Bags,Fashion,Bags,237.23,114.06,Russell Inc,477,2022-05-15
204,Quality-focused optimal Local Area Network Shoes,Fashion,Shoes,120.68,59.36,Campbell Group,372,2022-07-01
205,Grass-roots high-level data-warehouse Bags,Fashion,Bags,102.78,58.48,Petersen-Meyers,390,2022-08-02
206,Intuitive real-time budgetary management Bags,Fashion,Bags,30.76,16.08,Moore LLC,330,2022-03-13
207,Polarized optimal initiative Shoes,Fashion,Shoes,20.55,12.56,Caldwell Group,106,2022-12-05
208,Configurable multi-state forecast Shoes,Fashion,Shoes,252.28,102.7,Hill-Williams,218,2022-07-15
209,Public-key maximized conglomeration Women Clothing,Fashion,Women Clothing,242.28,141.8,"Allison, Ferrell and Roberts",225,2022-05-21
210,Automated grid-enabled info-mediaries Men Clothing,Fashion,Men Clothing,84.29,41.95,"Howell, Smith and Beck",245,2022-10-31
211,Inverse user-facing workforce Men Clothing,Fashion,Men Clothing,237.65,122.87,Cummings LLC,491,2022-12-28
212,Digitized leadingedge complexity Women Clothing,Fashion,Women Clothing,94.84,55.2,Long Group,192,2022-01-31
213,Universal optimal website Men Clothing,Fashion,Men Clothing,197.29,95.25,"Lawrence, Hughes and Green",189,2022-08-13
214,Upgradable holistic access Men Clothing,Fashion,Men Clothing,149.47,99.29,Lee-Bennett,37,2022-06-16
215,Horizontal disintermediate access Women Clothing,Fashion,Women Clothing,264.08,152.36,Salinas-Johnson,293,2022-04-13
216,Monitored next generation paradigm Men Clothing,Fashion,Men Clothing,139.9,69.72,Smith-Johnson,279,2022-12-05
217,Face-to-face interactive analyzer Shoes,Fashion,Shoes,211.53,93.53,"Cox, Huber and Snyder",394,2022-02-04
218,Visionary encompassing application Shoes,Fashion,Shoes,272.95,145.69,Weaver-Myers,452,2022-04-20
219,Organic web-enabled matrices Shoes,Fashion,Shoes,148.47,79.91,Mccormick-Martinez,170,2022-04-12
220,Seamless encompassing emulation Shoes,Fashion,Shoes,187.03,127.14,"Valdez, Jefferson and Dean",71,2022-03-03
221,Front-line attitude-oriented open system Bags,Fashion,Bags,136.79,87.79,Cummings-Blair,408,2022-01-25
222,Exclusive didactic project Men Clothing,Fashion,Men Clothing,275.2,152.37,"Smith, Torres and Barry",8,2022-10-17
223,Polarized real-time parallelism Men Clothing,Fashion,Men Clothing,288.54,190.99,Griffith PLC,167,2022-10-03
224,Seamless needs-based system engine Shoes,Fashion,Shoes,178.82,105.56,Salazar and Sons,376,2022-02-08
225,Fully-configurable solution-oriented moratorium Men Clothing,Fashion,Men Clothing,292.65,185.59,"Walker, Parker and Frederick",272,2022-03-23
226,Ergonomic stable encryption Men Clothing,Fashion,Men Clothing,178.57,96.52,Mcdaniel and Sons,332,2022-04-08
227,Object-based optimizing infrastructure Bags,Fashion,Bags,248.06,133.88,Green-Brown,455,2022-03-19
228,Fully-configurable tertiary paradigm Shoes,Fashion,Shoes,35.81,21.28,"Harper, Myers and Watson",173,2022-08-21
229,Vision-oriented human-resource array Bags,Fashion,Bags,268.48,139.73,"Graham, Wright and Ho",150,2022-01-04
230,Profound intermediate utilization Bags,Fashion,Bags,20.38,9.53,Nelson-Bell,218,2022-03-19
231,Compatible bi-directional leverage Women Clothing,Fashion,Women Clothing,181.55,114.44,Camacho-Webb,272,2022-08-23
232,De-engineered optimal circuit Women Clothing,Fashion,Women Clothing,234.43,134.17,"Miller, Morris and Brooks",181,2022-10-23
233,Progressive explicit Internet solution Women Clothing,Fashion,Women Clothing,235.3,108.67,Coleman-Chen,92,2022-02-21
234,Assimilated bandwidth-monitored customer loyalty Men Clothing,Fashion,Men Clothing,237.15,133.28,Mcneil LLC,488,2022-02-05
235,Triple-buffered analyzing circuit Shoes,Fashion,Shoes,279.61,167.05,"Gibson, Smith and Romero",103,2022-06-05
236,User-friendly context-sensitive moderator Bags,Fashion,Bags,297.44,139.77,"Stanton, Martin and Hopkins",470,2022-04-22
237,Vision-oriented didactic alliance Men Clothing,Fashion,Men Clothing,54.13,36.25,"Anderson, Bernard and Galloway",225,2022-03-05
238,Organized national Internet solution Men Clothing,Fashion,Men Clothing,141.53,88.2,Ramirez Inc,378,2022-04-17
239,Expanded intangible monitoring Men Clothing,Fashion,Men Clothing,142.34,73.98,Anderson-Russell,105,2022-07-14
